Month,Beer_Volume,Beer.price,Nominal.Cider.Perry.Price,Cider.Perry.Volume,Unemployment.rate,Unemployment.Female.PCT,Unemployment.Male.PCT,Employment.rate,Employment.Male.PCT,Employment.Female.PCT,Employment.to.population.ratio.15.,Money.Supply,Currency.in.Circulation,Customs.and.import.tax,Taxes.on.goods.and.services,Total.Excise,Wine.Equalistaion.Tax,Global.events,Festivals,Holiday.flags,No..of.festive.days.in.the.month,No.of.working.days,Number.of.Tourists.1wk.,Number.of.Tourists.1.2.wks,Number.of.Tourists.2wks.1mth,Number.of.Tourists.1.2mths,Number.of.Tourists.2.3mths,Number.of.Tourists.3.6mths,Number.of.Tourists.6.12mths,Season,System.Shocks...RTD.tax..CDS..GST..Sydney.LockOut.Laws.etc.,Elections,PMI,FAI.Evolution,Real.Estate.Investment,GDP,GDP.per.capita,GDP.per.capita.growth,GDP.Growth.rate,Private.Sector.Expenditure,Cash.Consumption.Expenditure,Government.Expenditure,Total.Exports,Total.Imports,Balance.of.Import.and.Export,CPI,Inflation.PCT,Total.Import.and.Export,Population.NSW,Population.VIC,Population.QLD,Population.SA,Population.WA,Population.TAS,Population.NT,Population.ACT,Population.Australia,Population.by.Gender,GDP.USD,Government.Revenue,FDI.Investment.Utilized,Urbanization.rate,WPI,GDP.deflator,Urban.population,Urban.population.PCT.growth,Total.Population,LDA.Population,Population.Under.18,Population.in.age.bracket.18...24,Population.in.age.bracket.25...34,Population.in.age.bracket.35...44,Population.in.age.bracket.45...54,Population.in.age.bracket.55...64,Population.in.age.bracket.65...74,Population.in.age.bracket.75...84,Population.in.age.bracket.85...100,On.premise...Off.premise.Split,Total.expenditure,PCT.of.population.born.locally,Output.of.Beer,Output.of.Cider..Perry,Output.of.RTDs..High.Strength.Premixes,Output.of.Spirits,Output.of.Wine,Output.of.Soft.Drinks,Disposable.Income,Weighted.Temp,Beer.price_lag_3,Nominal.Cider.Perry.Price,Cider.Perry.Volume,Unemployment.rate_lag_1,Unemployment.Female.PCT_lag_3,Unemployment.Male.PCT_lag_1,Employment.rate,Employment.Male.PCT,Employment.Female.PCT_lag_1,Employment.to.population.ratio.15.,Money.Supply_inv,Currency.in.Circulation_lag_2,Customs.and.import.tax,Taxes.on.goods.and.services_lag_3,Total.Excise,Wine.Equalistaion.Tax_lag_3,Global.events_lag_1,Festivals,Holiday.flags,No..of.festive.days.in.the.month,No.of.working.days_inv,Number.of.Tourists.1wk._inv,Number.of.Tourists.1.2.wks_lag_3,Number.of.Tourists.2wks.1mth,Number.of.Tourists.1.2mths_lag_2,Number.of.Tourists.2.3mths_lag_2,Number.of.Tourists.3.6mths_lag_2,Number.of.Tourists.6.12mths_lag_1,Season_lag_1,System.Shocks...RTD.tax..CDS..GST..Sydney.LockOut.Laws.etc._lag_3,Elections_lag_3,PMI_lag_1,FAI.Evolution_lag_3,Real.Estate.Investment_lag_3,GDP_lag_1,GDP.per.capita_lag_1,GDP.per.capita.growth_SqRT,GDP.Growth.rate_SqRT,Private.Sector.Expenditure_lag_1,Cash.Consumption.Expenditure_lag_1,Government.Expenditure_lag_3,Total.Exports_inv,Total.Imports_inv,Balance.of.Import.and.Export_lag_1,CPI_inv,Inflation.PCT_lag_3,Total.Import.and.Export_inv,Population.NSW_inv,Population.VIC_inv,Population.QLD_inv,Population.SA_inv,Population.WA_inv,Population.TAS_lag_3,Population.NT_inv,Population.ACT_inv,Population.Australia_inv,Population.by.Gender_lag_3,GDP.USD_lag_1,Government.Revenue_lag_1,FDI.Investment.Utilized,Urbanization.rate_lag_1,WPI_lag_1,GDP.deflator_lag_1,Urban.population_lag_1,Urban.population.PCT.growth,Total.Population_lag_1,LDA.Population_lag_1,Population.Under.18_lag_1,Population.in.age.bracket.18...24_lag_1,Population.in.age.bracket.25...34_lag_1,Population.in.age.bracket.35...44_lag_1,Population.in.age.bracket.45...54_lag_1,Population.in.age.bracket.55...64_lag_1,Population.in.age.bracket.65...74_lag_1,Population.in.age.bracket.75...84_lag_1,Population.in.age.bracket.85...100_lag_1,On.premise...Off.premise.Split_lag_1,Total.expenditure_lag_1,PCT.of.population.born.locally_lag_1,Output.of.Beer_lag_1,Output.of.Cider..Perry_inv,Output.of.RTDs..High.Strength.Premixes_lag_1,Output.of.Spirits_lag_1,Output.of.Wine_inv,Output.of.Soft.Drinks_lag_1,Disposable.Income_lag_1,Weighted.Temp_inv
11-01-2009,1770.121471,4.484776,6.121507,2459.639648,0.051953553,0.050080105,0.053521945,0.615147094,0.678000779,0.554019637,0.652662246,95.91753,49285.32997,608.213,4603.496,2532.203,64.931,0,1,1,0,21,86800,158500,128000,69700,40300,26500,10000,1,0,0,53.91,60197,13702,367574,16810.58893,0.046251249,0.049974434,274236,208975,65225,64031,72863,1.137933189,94.3,0.021,136894,7101.504,5419.249,4367.454,1618.578,2263.747,506.461,227.783,357.859,21865.623,0.502139866,926.56,309.79,528927,0.850740974,98.12092741,90.2622604,18453978,0.022215969,21691653,16677226,5014427,2187427,3053686,3116343,2984512,2444692,1546161,976176,368229,0.794108752,16.537881,0.264,1929.2,33.4103,292.8306,58.5716,528.5,3832.6,30651.2511,27.87452379,4.601689,6.121507,2459.639648,0.053556496,0.053637004,0.054990594,0.615147094,0.678000779,0.554345618,0.652662246,0.010425623,48641.2299,608.213,3471.675,2532.203,0,0,1,1,0,0.047619048,1.15E-05,158500,128000,97800,20900,18500,9500,1,0,0,48.34,49343,11837,367574,16810.58893,0.215061036,0.223549623,274236,208975,64046,1.56E-05,1.37E-05,1.137933189,0.010604454,0.012,7.30E-06,0.000140815,0.000184527,0.000228966,0.000617826,0.000441745,505.468,0.004390143,0.002794397,4.57E-05,0.502075125,926.56,309.79,528927,0.850740974,98.12092741,90.2622604,18453978,0.022215969,21691653,16677226,5014427,2187427,3053686,3116343,2984512,2444692,1546161,976176,368229,0.794108752,16.537881,0.264,1929.2,0.02993089,292.8306,58.5716,0.001892148,3832.6,30651.2511,0.035875052
12-01-2009,2142.850474,4.498142,6.238989,2852.171631,0.053235521,0.052749281,0.053641218,0.624679365,0.690457802,0.560716115,0.652790781,95.68305,51586.37699,563.981,2859.37,2379.095,70.326,0,1,1,4,19,59500,167100,258400,180800,35000,18600,10900,2,0,0,45.63,60197,13702,367574,16810.58893,0.046251249,0.049974434,274236,208975,65225,64031,72863,1.137933189,94.3,0.021,136894,7101.504,5419.249,4367.454,1618.578,2263.747,506.461,227.783,357.859,21865.623,0.502139866,926.56,309.79,528927,0.850740974,98.12092741,90.2622604,18453978,0.022215969,21691653,16677226,5014427,2187427,3053686,3116343,2984512,2444692,1546161,976176,368229,0.794108752,16.537881,0.264,1929.2,33.4103,292.8306,58.5716,528.5,3832.6,30651.2511,27.83832951,4.515814,6.238989,2852.171631,0.051953553,0.054932691,0.053521945,0.624679365,0.690457802,0.554019637,0.652790781,0.010451172,48968.42007,563.981,2168.592,2379.095,0,0,1,1,4,0.052631579,1.68E-05,195200,258400,54700,17100,18000,10000,1,0,0,53.91,49343,11837,367574,16810.58893,0.215061036,0.223549623,274236,208975,64046,1.56E-05,1.37E-05,1.137933189,0.010604454,0.012,7.30E-06,0.000140815,0.000184527,0.000228966,0.000617826,0.000441745,505.468,0.004390143,0.002794397,4.57E-05,0.502075125,926.56,309.79,528927,0.850740974,98.12092741,90.2622604,18453978,0.022215969,21691653,16677226,5014427,2187427,3053686,3116343,2984512,2444692,1546161,976176,368229,0.794108752,16.537881,0.264,1929.2,0.02993089,292.8306,58.5716,0.001892148,3832.6,30651.2511,0.035921696
01-01-2010,1578.423817,4.43037,6.075831,2746.373291,0.057055882,0.057206804,0.056931394,0.612263603,0.680644339,0.54577084,0.652732522,95.64667,49040.42522,443.511,2678.677,1715.94,76.372,1,1,1,2,19,57100,173400,156400,55600,15800,15000,20600,2,0,0,51.16,47780,12066,339948,15477.4403,-0.079304101,-0.075157655,260042,195512,64533,59976,68797,1.147075497,95.2,0.029,128773,7128.356,5445.172,4387.801,1624.033,2278.589,508.182,228.6,360.361,21964.097,0.502175983,1142,298.9,284349,0.851633756,100,91.17201446,18762982,0.016744574,22031750,16972406,5059344,2204456,3125453,3137648,3015387,2502787,1613289,986792,386594,0.794108752,17.178985,0.267,1829.9,43.5002,282.201,59.5356,540.9,3895.5,32116.06017,29.51477585,4.546315,6.075831,2746.373291,0.053235521,0.051837005,0.053641218,0.612263603,0.680644339,0.560716115,0.652732522,0.010455147,49285.32997,443.511,4860.214,1715.94,224.632,0,1,1,2,0.052631579,1.75E-05,201100,156400,69700,40300,26500,10900,2,0,0,45.63,60197,13702,367574,16810.58893,NA,NA,274236,208975,65225,1.67E-05,1.45E-05,1.137933189,0.010504202,0.021,7.77E-06,0.000140285,0.000183649,0.000227905,0.000615751,0.000438868,506.461,0.004374453,0.002774995,4.55E-05,0.502139866,926.56,309.79,284349,0.850740974,98.12092741,90.2622604,18453978,0.016744574,21691653,16677226,5014427,2187427,3053686,3116343,2984512,2444692,1546161,976176,368229,0.794108752,16.537881,0.264,1929.2,0.0229884,292.8306,58.5716,0.001848771,3832.6,30651.2511,0.033881335
02-01-2010,1282.251782,4.666142,6.34589,2090.399902,0.059633801,0.060588951,0.058841783,0.6157344,0.683362649,0.549974181,0.652473494,96.2935,48527.06065,363.408,4419.747,1769.653,65.575,0,0,0,0,20,69300,133600,126700,48300,12700,12700,13000,2,0,0,55.07,47780,12066,339948,15477.4403,-0.079304101,-0.075157655,260042,195512,64533,59976,68797,1.147075497,95.2,0.029,128773,7128.356,5445.172,4387.801,1624.033,2278.589,508.182,228.6,360.361,21964.097,0.502175983,1142,298.9,284349,0.851633756,100,91.17201446,18762982,0.016744574,22031750,16972406,5059344,2204456,3125453,3137648,3015387,2502787,1613289,986792,386594,0.794108752,17.178985,0.267,1829.9,43.5002,282.201,59.5356,540.9,3895.5,32116.06017,28.97679674,4.484776,6.34589,2090.399902,0.057055882,0.050080105,0.056931394,0.6157344,0.683362649,0.54577084,0.652473494,0.010384917,51586.37699,363.408,4603.496,1769.653,64.931,1,0,0,0,0.05,1.44E-05,158500,126700,180800,35000,18600,20600,2,0,0,51.16,60197,13702,339948,15477.4403,NA,NA,260042,195512,65225,1.67E-05,1.45E-05,1.147075497,0.010504202,0.021,7.77E-06,0.000140285,0.000183649,0.000227905,0.000615751,0.000438868,506.461,0.004374453,0.002774995,4.55E-05,0.502139866,1142,298.9,284349,0.851633756,100,91.17201446,18762982,0.016744574,22031750,16972406,5059344,2204456,3125453,3137648,3015387,2502787,1613289,986792,386594,0.794108752,17.178985,0.267,1829.9,0.0229884,282.201,59.5356,0.001848771,3895.5,32116.06017,0.034510371
03-01-2010,1565.996896,4.578368,6.250334,2393.250732,0.057484296,0.05707179,0.057827852,0.616966315,0.682548859,0.553196136,0.652103172,97.31631,49784.32849,434.735,4633.077,2272.197,49.348,1,0,0,1,22,85200,176100,173100,71900,17400,20500,13700,3,0,0,51.24,47780,12066,339948,15477.4403,-0.079304101,-0.075157655,260042,195512,64533,59976,68797,1.147075497,95.2,0.029,128773,7128.356,5445.172,4387.801,1624.033,2278.589,508.182,228.6,360.361,21964.097,0.502175983,1142,298.9,284349,0.851633756,100,91.17201446,18762982,0.016744574,22031750,16972406,5059344,2204456,3125453,3137648,3015387,2502787,1613289,986792,386594,0.794108752,17.178985,0.267,1829.9,43.5002,282.201,59.5356,540.9,3895.5,32116.06017,26.92554815,4.498142,6.250334,2393.250732,0.059633801,0.052749281,0.058841783,0.616966315,0.682548859,0.549974181,0.652103172,0.01027577,49040.42522,434.735,2859.37,2272.197,70.326,0,0,0,1,0.045454545,1.17E-05,167100,173100,55600,15800,15000,13000,2,0,0,55.07,60197,13702,339948,15477.4403,NA,NA,260042,195512,65225,1.67E-05,1.45E-05,1.147075497,0.010504202,0.021,7.77E-06,0.000140285,0.000183649,0.000227905,0.000615751,0.000438868,506.461,0.004374453,0.002774995,4.55E-05,0.502139866,1142,298.9,284349,0.851633756,100,91.17201446,18762982,0.016744574,22031750,16972406,5059344,2204456,3125453,3137648,3015387,2502787,1613289,986792,386594,0.794108752,17.178985,0.267,1829.9,0.0229884,282.201,59.5356,0.001848771,3895.5,32116.06017,0.037139448
04-01-2010,1406.814602,4.58458,6.414499,2053.483643,0.05549148,0.056950428,0.054279593,0.616914647,0.684433337,0.551261371,0.651806775,98.08847,48653.06501,380.424,4817.297,1873.631,59.356,0,1,1,3,19,87000,178500,149100,68000,19300,20200,14200,3,0,0,57.69,56890,14309,356329,16173.43152,0.044968109,0.048186782,268884,201027,67874,65699,72551,1.104293825,95.8,0.031,138250,7144.292,5461.101,4404.744,1627.322,2290.845,508.847,229.778,361.766,22031.75,0.502180671,1142,298.9,284349,0.851633756,100,91.17201446,18762982,0.016744574,22031750,16972406,5059344,2204456,3125453,3137648,3015387,2502787,1613289,986792,386594,0.794108752,17.178985,0.267,1829.9,43.5002,282.201,59.5356,540.9,3895.5,32116.06017,24.20761486,4.43037,6.414499,2053.483643,0.057484296,0.057206804,0.057827852,0.616914647,0.684433337,0.553196136,0.651806775,0.010194878,48527.06065,380.424,2678.677,1873.631,76.372,1,1,1,3,0.052631579,1.15E-05,173400,149100,48300,12700,12700,13700,3,0,0,51.24,47780,12066,339948,15477.4403,0.212056853,0.219514879,260042,195512,64533,1.52E-05,1.38E-05,1.147075497,0.010438413,0.029,7.23E-06,0.000139972,0.000183113,0.000227028,0.000614507,0.00043652,508.182,0.004352027,0.002764218,4.54E-05,0.502175983,1142,298.9,284349,0.851633756,100,91.17201446,18762982,0.016744574,22031750,16972406,5059344,2204456,3125453,3137648,3015387,2502787,1613289,986792,386594,0.794108752,17.178985,0.267,1829.9,0.0229884,282.201,59.5356,0.001848771,3895.5,32116.06017,0.041309316
05-01-2010,1371.829516,4.55781,6.428901,1796.920654,0.052293027,0.052270075,0.05231215,0.617209546,0.682929112,0.553305028,0.651761141,98.517,48540.97634,444.989,4252.058,2296.119,70.554,0,0,0,0,21,81600,143900,156000,98400,29400,32000,14200,3,0,0,54.26,56890,14309,356329,16173.43152,0.044968109,0.048186782,268884,201027,67874,65699,72551,1.104293825,95.8,0.031,138250,7144.292,5461.101,4404.744,1627.322,2290.845,508.847,229.778,361.766,22031.75,0.502180671,1142,298.9,284349,0.851633756,100,91.17201446,18762982,0.016744574,22031750,16972406,5059344,2204456,3125453,3137648,3015387,2502787,1613289,986792,386594,0.794108752,17.178985,0.267,1829.9,43.5002,282.201,59.5356,540.9,3895.5,32116.06017,20.23481468,4.666142,6.428901,1796.920654,0.05549148,0.060588951,0.054279593,0.617209546,0.682929112,0.551261371,0.651761141,0.010150532,49784.32849,444.989,4419.747,2296.119,65.575,0,0,0,0,0.047619048,1.23E-05,133600,156000,71900,17400,20500,14200,3,0,0,57.69,47780,12066,356329,16173.43152,0.212056853,0.219514879,268884,201027,64533,1.52E-05,1.38E-05,1.104293825,0.010438413,0.029,7.23E-06,0.000139972,0.000183113,0.000227028,0.000614507,0.00043652,508.182,0.004352027,0.002764218,4.54E-05,0.502175983,1142,298.9,284349,0.851633756,100,91.17201446,18762982,0.016744574,22031750,16972406,5059344,2204456,3125453,3137648,3015387,2502787,1613289,986792,386594,0.794108752,17.178985,0.267,1829.9,0.0229884,282.201,59.5356,0.001848771,3895.5,32116.06017,0.049419776
06-01-2010,1466.819963,4.460244,6.388694,1771.953857,0.050071124,0.050809664,0.049455044,0.619444728,0.685477487,0.55523518,0.652150274,99.25277,48759.21871,476.594,3029.889,1956.329,66.906,0,0,0,1,21,81800,175800,209500,139700,38500,30800,10000,4,0,0,53.73,56890,14309,356329,16173.43152,0.044968109,0.048186782,268884,201027,67874,65699,72551,1.104293825,95.8,0.031,138250,7144.292,5461.101,4404.744,1627.322,2290.845,508.847,229.778,361.766,22031.75,0.502180671,1142,298.9,284349,0.851633756,100,91.17201446,18762982,0.016744574,22031750,16972406,5059344,2204456,3125453,3137648,3015387,2502787,1613289,986792,386594,0.794108752,17.178985,0.267,1829.9,43.5002,282.201,59.5356,540.9,3895.5,32116.06017,17.21399008,4.578368,6.388694,1771.953857,0.052293027,0.05707179,0.05231215,0.619444728,0.685477487,0.553305028,0.652150274,0.010075286,48653.06501,476.594,4633.077,1956.329,49.348,0,0,0,1,0.047619048,1.22E-05,176100,209500,68000,19300,20200,14200,3,0,0,54.26,47780,12066,356329,16173.43152,0.212056853,0.219514879,268884,201027,64533,1.52E-05,1.38E-05,1.104293825,0.010438413,0.029,7.23E-06,0.000139972,0.000183113,0.000227028,0.000614507,0.00043652,508.182,0.004352027,0.002764218,4.54E-05,0.502175983,1142,298.9,284349,0.851633756,100,91.17201446,18762982,0.016744574,22031750,16972406,5059344,2204456,3125453,3137648,3015387,2502787,1613289,986792,386594,0.794108752,17.178985,0.267,1829.9,0.0229884,282.201,59.5356,0.001848771,3895.5,32116.06017,0.058092284
07-01-2010,1230.075862,4.436234,6.476171,1849.402588,0.049302813,0.051224838,0.047701362,0.619904834,0.687093492,0.554577178,0.652941574,100.2271,49192.48787,456.306,4931.634,1985.847,54.315,0,0,0,0,22,76600,202600,173800,96800,29100,23800,13200,4,0,0,54.15,53427,15035,358886,16235.95155,0.003865601,0.007175953,270753,204836,65923,65528,75971,1.159366988,96.5,0.029,141499,7162.726,5478.71,4421.47,1630.23,2305.415,509.481,230.46,362.838,22104.402,0.502243445,1142,298.9,284349,0.851633756,100,91.17201446,18762982,0.016744574,22031750,16972406,5059344,2204456,3125453,3137648,3015387,2502787,1613289,986792,386594,0.794108752,17.178985,0.267,1829.9,43.5002,282.201,59.5356,540.9,3895.5,32116.06017,16.80703252,4.58458,6.476171,1849.402588,0.050071124,0.056950428,0.049455044,0.619904834,0.687093492,0.55523518,0.652941574,0.009977341,48540.97634,456.306,4817.297,1985.847,59.356,0,0,0,0,0.045454545,1.31E-05,178500,173800,98400,29400,32000,10000,4,0,0,53.73,56890,14309,356329,16173.43152,0.062173958,0.084710997,268884,201027,67874,1.53E-05,1.32E-05,1.104293825,0.010362694,0.031,7.07E-06,0.000139612,0.000182525,0.000226169,0.00061341,0.000433761,508.847,0.004339148,0.002756051,4.52E-05,0.502180671,1142,298.9,284349,0.851633756,100,91.17201446,18762982,0.016744574,22031750,16972406,5059344,2204456,3125453,3137648,3015387,2502787,1613289,986792,386594,0.794108752,17.178985,0.267,1829.9,0.0229884,282.201,59.5356,0.001848771,3895.5,32116.06017,0.059498903
08-01-2010,1316.638416,4.669136,6.755198,1818.482788,0.048493638,0.052059932,0.045513568,0.615991239,0.68287103,0.550968846,0.654006365,101.1165,49385.71849,472.144,3601.739,2282.951,62.731,0,0,0,0,22,86200,176500,156500,101100,28100,20200,13400,4,0,1,48.78,53427,15035,358886,16235.95155,0.003865601,0.007175953,270753,204836,65923,65528,75971,1.159366988,96.5,0.029,141499,7162.726,5478.71,4421.47,1630.23,2305.415,509.481,230.46,362.838,22104.402,0.502243445,1142,298.9,284349,0.851633756,100,91.17201446,18762982,0.016744574,22031750,16972406,5059344,2204456,3125453,3137648,3015387,2502787,1613289,986792,386594,0.794108752,17.178985,0.267,1829.9,43.5002,282.201,59.5356,540.9,3895.5,32116.06017,17.36266934,4.55781,6.755198,1818.482788,0.049302813,0.052270075,0.047701362,0.615991239,0.68287103,0.554577178,0.654006365,0.009889583,48759.21871,472.144,4252.058,2282.951,70.554,0,0,0,0,0.045454545,1.16E-05,143900,156500,139700,38500,30800,13200,4,0,0,54.15,56890,14309,358886,16235.95155,0.062173958,0.084710997,270753,204836,67874,1.53E-05,1.32E-05,1.159366988,0.010362694,0.031,7.07E-06,0.000139612,0.000182525,0.000226169,0.00061341,0.000433761,508.847,0.004339148,0.002756051,4.52E-05,0.502180671,1142,298.9,284349,0.851633756,100,91.17201446,18762982,0.016744574,22031750,16972406,5059344,2204456,3125453,3137648,3015387,2502787,1613289,986792,386594,0.794108752,17.178985,0.267,1829.9,0.0229884,282.201,59.5356,0.001848771,3895.5,32116.06017,0.057594831
09-01-2010,1461.90817,4.489469,6.811495,2040.501099,0.05038248,0.052023225,0.049010725,0.625666138,0.692296353,0.560892089,0.655106554,101.7431,49880.60345,465.269,2542.977,1890.356,73.701,0,0,0,0,22,87500,226800,247200,112200,22300,18600,10700,1,0,0,43.78,53427,15035,358886,16235.95155,0.003865601,0.007175953,270753,204836,65923,65528,75971,1.159366988,96.5,0.029,141499,7162.726,5478.71,4421.47,1630.23,2305.415,509.481,230.46,362.838,22104.402,0.502243445,1142,298.9,284349,0.851633756,100,91.17201446,18762982,0.016744574,22031750,16972406,5059344,2204456,3125453,3137648,3015387,2502787,1613289,986792,386594,0.794108752,17.178985,0.267,1829.9,43.5002,282.201,59.5356,540.9,3895.5,32116.06017,19.86789513,4.460244,6.811495,2040.501099,0.048493638,0.050809664,0.045513568,0.625666138,0.692296353,0.550968846,0.655106554,0.009828676,49192.48787,465.269,3029.889,1890.356,66.906,0,0,0,0,0.045454545,1.14E-05,175800,247200,96800,29100,23800,13400,4,0,0,48.78,56890,14309,358886,16235.95155,0.062173958,0.084710997,270753,204836,67874,1.53E-05,1.32E-05,1.159366988,0.010362694,0.031,7.07E-06,0.000139612,0.000182525,0.000226169,0.00061341,0.000433761,508.847,0.004339148,0.002756051,4.52E-05,0.502180671,1142,298.9,284349,0.851633756,100,91.17201446,18762982,0.016744574,22031750,16972406,5059344,2204456,3125453,3137648,3015387,2502787,1613289,986792,386594,0.794108752,17.178985,0.267,1829.9,0.0229884,282.201,59.5356,0.001848771,3895.5,32116.06017,0.050332458
10-01-2010,1415.710175,4.563701,6.923185,2182.789063,0.050330273,0.052513997,0.048507257,0.623228401,0.690425973,0.557909309,0.656054351,102.5597,49784.37021,480.38,5508.466,1962.088,11.734,0,0,0,1,20,96500,210000,165200,59400,17500,19400,9200,1,0,0,47.27,62760,16628,377309,17017.00429,0.048106372,0.05133385,284629,216716,67907,66794,80524,1.205557385,96.9,0.028,147318,7179.891,5495.711,4436.882,1632.482,2319.063,510.219,230.299,364.833,22172.469,0.502311673,1142,298.9,284349,0.851633756,100,91.17201446,18762982,0.016744574,22031750,16972406,5059344,2204456,3125453,3137648,3015387,2502787,1613289,986792,386594,0.794108752,17.178985,0.267,1829.9,43.5002,282.201,59.5356,540.9,3895.5,32116.06017,22.1487109,4.436234,6.923185,2182.789063,0.05038248,0.051224838,0.049010725,0.623228401,0.690425973,0.560892089,0.656054351,0.009750419,49385.71849,480.38,4931.634,1962.088,54.315,0,0,0,1,0.05,1.04E-05,202600,165200,101100,28100,20200,10700,1,0,0,43.78,53427,15035,358886,16235.95155,0.219331648,0.226569746,270753,204836,65923,1.50E-05,1.24E-05,1.159366988,0.010319917,0.029,6.79E-06,0.000139278,0.00018196,0.000225384,0.000612564,0.000431209,509.481,0.004342181,0.00274098,4.51E-05,0.502243445,1142,298.9,284349,0.851633756,100,91.17201446,18762982,0.016744574,22031750,16972406,5059344,2204456,3125453,3137648,3015387,2502787,1613289,986792,386594,0.794108752,17.178985,0.267,1829.9,0.0229884,282.201,59.5356,0.001848771,3895.5,32116.06017,0.045149354
11-01-2010,1565.999475,4.530459,6.965405,2301.770996,0.047700931,0.051592023,0.0444402,0.623367383,0.690455216,0.55816142,0.656659177,104.0515,50031.42887,600.412,4348.65,2450.523,78.171,0,1,0,0,22,97300,172700,131300,71900,42300,26000,9900,1,0,0,47.34,62760,16628,377309,17017.00429,0.048106372,0.05133385,284629,216716,67907,66794,80524,1.205557385,96.9,0.028,147318,7179.891,5495.711,4436.882,1632.482,2319.063,510.219,230.299,364.833,22172.469,0.502311673,1142,298.9,284349,0.851633756,100,91.17201446,18762982,0.016744574,22031750,16972406,5059344,2204456,3125453,3137648,3015387,2502787,1613289,986792,386594,0.794108752,17.178985,0.267,1829.9,43.5002,282.201,59.5356,540.9,3895.5,32116.06017,24.74761806,4.669136,6.965405,2301.770996,0.050330273,0.052059932,0.048507257,0.623367383,0.690455216,0.557909309,0.656659177,0.009610626,49880.60345,600.412,3601.739,2450.523,62.731,0,1,0,0,0.045454545,1.03E-05,176500,131300,112200,22300,18600,9200,1,0,1,47.27,53427,15035,377309,17017.00429,0.219331648,0.226569746,284629,216716,65923,1.50E-05,1.24E-05,1.205557385,0.010319917,0.029,6.79E-06,0.000139278,0.00018196,0.000225384,0.000612564,0.000431209,509.481,0.004342181,0.00274098,4.51E-05,0.502243445,1142,298.9,284349,0.851633756,100,91.17201446,18762982,0.016744574,22031750,16972406,5059344,2204456,3125453,3137648,3015387,2502787,1613289,986792,386594,0.794108752,17.178985,0.267,1829.9,0.0229884,282.201,59.5356,0.001848771,3895.5,32116.06017,0.040407929
12-01-2010,1872.276643,4.602191,6.885363,3252.45752,0.047361108,0.050962421,0.044353984,0.631039259,0.699940369,0.564077479,0.656794955,105.1875,53081.88481,535.91,2859.192,2490.934,68.672,0,1,1,4,19,66000,189700,290900,194500,38500,15900,10400,2,0,0,47.76,62760,16628,377309,17017.00429,0.048106372,0.05133385,284629,216716,67907,66794,80524,1.205557385,96.9,0.028,147318,7179.891,5495.711,4436.882,1632.482,2319.063,510.219,230.299,364.833,22172.469,0.502311673,1142,298.9,284349,0.851633756,100,91.17201446,18762982,0.016744574,22031750,16972406,5059344,2204456,3125453,3137648,3015387,2502787,1613289,986792,386594,0.794108752,17.178985,0.267,1829.9,43.5002,282.201,59.5356,540.9,3895.5,32116.06017,26.3262698,4.489469,6.885363,3252.45752,0.047700931,0.052023225,0.0444402,0.631039259,0.699940369,0.55816142,0.656794955,0.009506833,49784.37021,535.91,2542.977,2490.934,73.701,0,1,1,4,0.052631579,1.52E-05,226800,290900,59400,17500,19400,9900,1,0,0,47.34,53427,15035,377309,17017.00429,0.219331648,0.226569746,284629,216716,65923,1.50E-05,1.24E-05,1.205557385,0.010319917,0.029,6.79E-06,0.000139278,0.00018196,0.000225384,0.000612564,0.000431209,509.481,0.004342181,0.00274098,4.51E-05,0.502243445,1142,298.9,284349,0.851633756,100,91.17201446,18762982,0.016744574,22031750,16972406,5059344,2204456,3125453,3137648,3015387,2502787,1613289,986792,386594,0.794108752,17.178985,0.267,1829.9,0.0229884,282.201,59.5356,0.001848771,3895.5,32116.06017,0.037984872
01-01-2011,1700.400237,4.508471,6.934468,3270.381348,0.05396128,0.057270803,0.051228697,0.617174836,0.687910556,0.548436384,0.656476973,105.8181,50243.16282,490.593,2434.873,2548.276,82.007,1,1,1,2,19,61500,188500,182800,66800,16100,18700,19500,2,0,0,46.08,54129,15054,346739,15570.64835,-0.084994745,-0.081021126,270402,203612,66784,58430,73865,1.264162245,98.3,0.033,132295,7204.737,5520.378,4457.971,1636.759,2337.611,511.248,230.224,366.737,22268.758,0.502322491,1390,322.29,244365,0.852592593,103.3850129,96.81268279,19046939,0.015133895,22340024,17245436,5094588,2204147,3194331,3161154,3035900,2561993,1681931,1002373,403607,0.798962739,18.050971,0.269,1727.3,56.5123,276.6346,61.4942,533.9,3919.3,33562.87765,28.54501451,4.563701,6.934468,3270.381348,0.047361108,0.052513997,0.044353984,0.617174836,0.687910556,0.564077479,0.656476973,0.009450179,50031.42887,490.593,5508.466,2548.276,11.734,0,1,1,2,0.052631579,1.63E-05,210000,182800,71900,42300,26000,10400,2,0,0,47.76,62760,16628,377309,17017.00429,NA,NA,284629,216716,67907,1.71E-05,1.35E-05,1.205557385,0.01017294,0.028,7.56E-06,0.000138798,0.000181147,0.000224317,0.000610963,0.000427787,510.219,0.004343596,0.00272675,4.49E-05,0.502311673,1142,298.9,244365,0.851633756,100,91.17201446,18762982,0.015133895,22031750,16972406,5059344,2204456,3125453,3137648,3015387,2502787,1613289,986792,386594,0.794108752,17.178985,0.267,1829.9,0.017695263,282.201,59.5356,0.00187301,3895.5,32116.06017,0.035032387
