SKU,FISCAL_MONTH,SHIPPED_QTY
SKU1240,201910,
SKU1240,201911,
SKU1240,201912,
SKU1241,201909,
SKU1241,201910,
SKU1241,201911,
SKU1241,201912,
SKU1242,201909,
SKU1242,201910,
SKU1242,201911,
SKU1242,201912,
SKU1243,201909,
SKU1243,201910,
SKU1243,201911,
SKU1243,201912,
SKU1244,201909,
SKU1244,201910,
SKU1244,201911,
SKU1244,201912,
SKU1245,201909,
SKU1245,201910,
SKU1245,201911,
SKU1245,201912,
SKU1246,201909,
SKU1246,201910,
SKU1246,201911,
SKU1246,201912,
SKU1247,201909,
SKU1247,201910,
SKU1247,201911,
SKU1247,201912,
SKU1248,201909,
SKU1248,201910,
SKU1248,201911,
SKU1248,201912,
SKU1249,201909,
SKU1249,201910,
SKU1249,201911,
SKU1249,201912,
SKU1250,201909,
SKU1250,201910,
SKU1250,201911,
SKU1250,201912,
SKU1251,201909,
SKU1251,201910,
SKU1251,201911,
SKU1251,201912,
SKU1252,201909,
SKU1252,201910,
SKU1252,201911,
SKU1252,201912,
SKU1253,201909,
SKU1253,201910,
SKU1253,201911,
SKU1253,201912,
SKU1254,201909,
SKU1254,201910,
SKU1254,201911,
SKU1254,201912,
SKU1255,201909,
SKU1255,201910,
SKU1255,201911,
SKU1255,201912,
SKU1256,201909,
SKU1256,201910,
SKU1256,201911,
SKU1256,201912,
SKU1257,201909,
SKU1257,201910,
SKU1257,201911,
SKU1257,201912,
SKU1258,201909,
SKU1258,201910,
SKU1258,201911,
SKU1258,201912,
SKU1259,201909,
SKU1259,201910,
SKU1259,201911,
SKU1259,201912,
SKU1260,201909,
SKU1260,201910,
SKU1260,201911,
SKU1260,201912,
SKU1261,201909,
SKU1261,201910,
SKU1261,201911,
SKU1261,201912,
SKU1262,201909,
SKU1262,201910,
SKU1262,201911,
SKU1262,201912,
SKU1263,201909,
SKU1263,201910,
SKU1263,201911,
SKU1263,201912,
SKU1264,201909,
SKU1264,201910,
SKU1264,201911,
SKU1264,201912,
SKU1265,201909,
SKU1265,201910,
SKU1265,201911,
SKU1265,201912,
SKU1266,201909,
SKU1266,201910,
SKU1266,201911,
SKU1266,201912,
SKU1267,201909,
SKU1267,201910,
SKU1267,201911,
SKU1267,201912,
SKU1268,201909,
SKU1268,201910,
SKU1268,201911,
SKU1268,201912,
SKU1269,201909,
SKU1269,201910,
SKU1269,201911,
SKU1269,201912,
SKU1270,201909,
SKU1270,201910,
SKU1270,201911,
SKU1270,201912,
SKU1271,201909,
SKU1271,201910,
SKU1271,201911,
SKU1271,201912,
SKU1272,201909,
SKU1272,201910,
SKU1272,201911,
SKU1272,201912,
SKU1273,201909,
SKU1273,201910,
SKU1273,201911,
SKU1273,201912,
SKU1274,201909,
SKU1274,201910,
SKU1274,201911,
SKU1274,201912,
SKU1275,201909,
SKU1275,201910,
SKU1275,201911,
SKU1275,201912,
SKU1276,201909,
SKU1276,201910,
SKU1276,201911,
SKU1276,201912,
SKU1277,201909,
SKU1277,201910,
SKU1277,201911,
SKU1277,201912,
SKU1278,201909,
SKU1278,201910,
SKU1278,201911,
SKU1278,201912,
SKU1279,201909,
SKU1279,201910,
SKU1279,201911,
SKU1279,201912,
SKU1280,201909,
SKU1280,201910,
SKU1280,201911,
SKU1280,201912,
SKU1281,201909,
SKU1281,201910,
SKU1281,201911,
SKU1281,201912,
SKU1282,201909,
SKU1282,201910,
SKU1282,201911,
SKU1282,201912,
SKU1283,201909,
SKU1283,201910,
SKU1283,201911,
SKU1283,201912,
SKU1284,201909,
SKU1284,201910,
SKU1284,201911,
SKU1284,201912,
SKU1285,201909,
SKU1285,201910,
SKU1285,201911,
SKU1285,201912,
SKU1286,201909,
SKU1286,201910,
SKU1286,201911,
SKU1286,201912,
SKU1287,201909,
SKU1287,201910,
SKU1287,201911,
SKU1287,201912,
SKU1288,201909,
SKU1288,201910,
SKU1288,201911,
SKU1288,201912,
SKU1289,201909,
SKU1289,201910,
SKU1289,201911,
SKU1289,201912,
SKU1290,201909,
SKU1290,201910,
SKU1290,201911,
SKU1290,201912,
SKU1291,201909,
SKU1291,201910,
SKU1291,201911,
SKU1291,201912,
SKU1292,201909,
SKU1292,201910,
SKU1292,201911,
SKU1292,201912,
SKU1293,201909,
SKU1293,201910,
SKU1293,201911,
SKU1293,201912,
SKU1294,201909,
SKU1294,201910,
SKU1294,201911,
SKU1294,201912,
SKU1295,201909,
SKU1295,201910,
SKU1295,201911,
SKU1295,201912,
SKU1296,201909,
SKU1296,201910,
SKU1296,201911,
SKU1296,201912,
SKU1297,201909,
SKU1297,201910,
SKU1297,201911,
SKU1297,201912,
SKU1298,201909,
SKU1298,201910,
SKU1298,201911,
SKU1298,201912,
SKU1299,201909,
SKU1299,201910,
SKU1299,201911,
SKU1299,201912,
SKU1300,201909,
SKU1300,201910,
SKU1300,201911,
SKU1300,201912,
SKU1301,201909,
SKU1301,201910,
SKU1301,201911,
SKU1301,201912,
SKU1302,201909,
SKU1302,201910,
SKU1302,201911,
SKU1302,201912,
SKU1303,201909,
SKU1303,201910,
SKU1303,201911,
SKU1303,201912,
SKU1304,201909,
SKU1304,201910,
SKU1304,201911,
SKU1304,201912,
SKU1305,201909,
SKU1305,201910,
SKU1305,201911,
SKU1305,201912,
SKU1306,201909,
SKU1306,201910,
SKU1306,201911,
SKU1306,201912,
SKU1307,201909,
SKU1307,201910,
SKU1307,201911,
SKU1307,201912,
SKU1308,201909,
SKU1308,201910,
SKU1308,201911,
SKU1308,201912,
SKU1309,201909,
SKU1309,201910,
SKU1309,201911,
SKU1309,201912,
SKU1310,201909,
SKU1310,201910,
SKU1310,201911,
SKU1310,201912,
SKU1311,201909,
SKU1311,201910,
SKU1311,201911,
SKU1311,201912,
SKU1312,201909,
SKU1312,201910,
SKU1312,201911,
SKU1312,201912,
SKU1313,201909,
SKU1313,201910,
SKU1313,201911,
SKU1313,201912,
SKU1314,201909,
SKU1314,201910,
SKU1314,201911,
SKU1314,201912,
SKU1315,201909,
SKU1315,201910,
SKU1315,201911,
SKU1315,201912,
SKU1316,201909,
SKU1316,201910,
SKU1316,201911,
SKU1316,201912,
SKU1317,201909,
SKU1317,201910,
SKU1317,201911,
SKU1317,201912,
SKU1318,201909,
SKU1318,201910,
SKU1318,201911,
SKU1318,201912,
SKU1319,201909,
SKU1319,201910,
SKU1319,201911,
SKU1319,201912,
SKU1320,201909,
SKU1320,201910,
SKU1320,201911,
SKU1320,201912,
SKU1321,201909,
SKU1321,201910,
SKU1321,201911,
SKU1321,201912,
SKU1322,201909,
SKU1322,201910,
SKU1322,201911,
SKU1322,201912,
SKU1323,201909,
SKU1323,201910,
SKU1323,201911,
SKU1323,201912,
SKU1324,201909,
SKU1324,201910,
SKU1324,201911,
SKU1324,201912,
SKU1325,201909,
SKU1325,201910,
SKU1325,201911,
SKU1325,201912,
SKU1326,201909,
SKU1326,201910,
SKU1326,201911,
SKU1326,201912,
SKU1327,201909,
SKU1327,201910,
SKU1327,201911,
SKU1327,201912,
SKU1328,201909,
SKU1328,201910,
SKU1328,201911,
SKU1328,201912,
SKU1329,201909,
SKU1329,201910,
SKU1329,201911,
SKU1329,201912,
SKU1330,201909,
SKU1330,201910,
SKU1330,201911,
SKU1330,201912,
SKU1331,201909,
SKU1331,201910,
SKU1331,201911,
SKU1331,201912,
SKU1332,201909,
SKU1332,201910,
SKU1332,201911,
SKU1332,201912,
SKU1333,201909,
SKU1333,201910,
SKU1333,201911,
SKU1333,201912,
SKU1334,201909,
SKU1334,201910,
SKU1334,201911,
SKU1334,201912,
SKU1335,201909,
SKU1335,201910,
SKU1335,201911,
SKU1335,201912,
SKU1336,201909,
SKU1336,201910,
SKU1336,201911,
SKU1336,201912,
SKU1337,201909,
SKU1337,201910,
SKU1337,201911,
SKU1337,201912,
SKU1338,201909,
SKU1338,201910,
SKU1338,201911,
SKU1338,201912,
SKU1339,201909,
SKU1339,201910,
SKU1339,201911,
SKU1339,201912,
SKU1340,201909,
SKU1340,201910,
SKU1340,201911,
SKU1340,201912,
