Month,Year,Quarter,Beer production(kHL),Beer price($/litre),Output of Beer(),Output of Liquor(),Output of Soft Drinks(),Output of Wine(),Nominal Cider/Perry Price($/litre),Nominal RTD/High Strength Pre-Mixes Price(),Nominal Wine Price($/litre),Nominal Spirits Price($/litre),Cider/Perry Volume(kL),RTD/High Strength Pre-Mixes Volume(),Wine Volume(kL),Spirits Volume(kL),Unemployment rate(%),Unemployment Female %(%),Unemployment Male %(%),Employment rate(%),Employment Male %(%),Employment Female %(%),Employment PMI(),Employment to population ratio 15+ (ILOpct)/(NBSpct)(%),Manufacturing Production Index(),Manufacturing Import Index(),Manufacturing Employment Index(),Non-Manufacturing Business Index(),Non-Manufacturing Employment Index(),Money Supply(Index),Currency in Circulation(AUD $m),Retail Price Index(),Happiness Index(),Customs and import tax($m AUD),Taxes on goods and services($m AUD),"Total Excise (Beer, Tobacco, etc.)($m AUD)",Wine Equalistaion Tax($m AUD),Export taxes(),Global events(),Festivals(),Holiday flags(),No. of festive days in the month(),No.of working days(),Number of Tourists 1wk<(persons),Number of Tourists 1-2 wks(persons),Number of Tourists 2wks-1mth(persons),Number of Tourists 1-2mths(persons),Number of Tourists 2-3mths(persons),Number of Tourists 3-6mths(persons),Number of Tourists 6-12mths(persons),"Season (Summer, spring, autumn, winter) flags(flag)",Temperature(),Precipitation(),Foggy Days(),Hail Days(),Rainy Days(),Thunderstorm Days(),Event Count(),Natural calamities(),Barley production(),Hops production(),Milled Rice production(),Wheat production(),Paddy production(),Flavor(),Consumer confidence(),"Attitudinal measures e.g. health, social etc.()",Total Advertising Spend(),"System Shocks - RTD tax, CDS, GST, Sydney LockOut Laws etc.(Flag)",Elections(Flag),PMI(Index)
11-01-2007,2007,Q4,,,,,,,,,,,,,,,0.041081709,0.043582165,0.039006394,0.624739006,0.695058023,0.556571008,,0.653905282,,,,,,77.00165,42334.54488,,,534.108,3796.125,1712.898,0,,0,1,1,0,22,72600,128600,101800,56600,34400,26200,9000,1,,,,,,,,,,,,,,,,,,0,1,41.9
12-01-2007,2007,Q4,,,,,,,,,,,,,,,0.042104263,0.043528244,0.040924334,0.634084066,0.705288189,0.56505124,,0.654226011,,,,,,78.32766,44938.84893,,,584.026,2675.855,2448.387,0,,0,1,1,4,17,47200,129600,219500,173400,34500,17100,11200,2,,,,,,,,,,,,,,,,,,0,0,56.05
01-01-2008,2008,Q1,,4.423129,,,,,5.60822,,,,1563.846802,,,,0.045641001,0.050460126,0.041688243,0.621696234,0.696620663,0.549037075,,0.654414281,,,,,,79.16855,42893.50569,,,522.665,2662.25,1781.314,0,,1,1,1,2,21,48300,122900,139300,55000,14300,16800,21000,2,,,,,,,,,,,,,,,,,,0,0,46.95
02-01-2008,2008,Q1,,4.436439,,,,,5.663155,,,,1308.098755,,,,0.044983162,0.051077974,0.039932111,0.626059709,0.698941361,0.555362247,,0.654530366,,,,,,79.90432,42321.21183,,,478.409,7240.937,1651.942,0,,0,0,0,0,21,60000,111500,111700,41200,12400,14400,13900,2,,,,,,,,,,,,,,,,,,0,0,52.24
03-01-2008,2008,Q1,,4.49169,,,,,5.804052,,,,1402.954712,,,,0.042992943,0.04590218,0.040580658,0.627843549,0.698742355,0.559051305,,0.654654404,,,,,,80.56733,42777.33326,,,460.375,2143.168,2495.762,0,,1,1,1,4,17,77700,143700,130200,58100,16500,16900,15300,3,,,,,,,,,,,,,,,,,,0,0,52.64
04-01-2008,2008,Q2,,4.487275,,,,,5.80842,,,,1197.631836,,,,0.043261106,0.046333682,0.04070424,0.628456769,0.698300351,0.560670396,,0.654816346,,,,,,81.35162,42287.90032,,,483.88,5234.741,1375.737,0,,0,0,0,0,22,65500,140600,140300,64700,19400,19200,16200,3,,,,,,,,,,,,,,,,,,1,0,52.54
05-01-2008,2008,Q2,,4.367391,,,,,5.797848,,,,1175.424683,,,,0.042824745,0.045575661,0.040538117,0.62644514,0.696131217,0.558794047,,0.65502879,,,,,,81.92973,42106.30239,,,508.857,4292.108,1868.446,0,,0,0,0,0,22,68200,122900,137700,86700,26300,31500,14300,3,,,,,,,,,,,,,,,,,,0,0,50.86
06-01-2008,2008,Q2,,4.344991,,,,,5.761653,,,,1159.066772,,,,0.041282791,0.044526936,0.038592355,0.628571269,0.699418889,0.559774571,,0.655212884,,,,,,83.03339,42115.01411,,,519.395,551.703,2142.09,0,,0,0,0,1,20,62800,134200,153200,110400,31700,26800,11400,4,,,,,,,,,,,,,,,,,,0,0,46.87
07-01-2008,2008,Q3,,4.244554,,,,,5.651422,,,,1250.398193,,,,0.039264848,0.044403435,0.034991732,0.628338184,0.699347371,0.559366131,,0.65519522,,,,,,84.80006,42688.6056,,,544.561,4644.683,1875.586,0,,0,0,0,0,23,60100,139700,138900,79800,28300,22400,13300,4,,,,,,,,,,,,,,,,,,0,0,46.56
08-01-2008,2008,Q3,,4.39279,,,,,5.78663,,,,1252.189575,,,,0.038543187,0.042120328,0.035564521,0.624116375,0.693200175,0.556997137,,0.654931563,,,,,,86.17053,43218.10031,,,489.914,4057.676,1648.695,0,,0,0,0,0,21,66100,138400,130700,90900,25400,21000,12100,4,,,,,,,,,,,,,,,,,,0,0,45.88
09-01-2008,2008,Q3,,4.355029,,,,,5.947661,,,,1334.605225,,,,0.042758409,0.045413223,0.040548993,0.631288192,0.700697435,0.563834943,,0.654560471,,,,,,87.37527,43748.80194,,,551.212,1799.26825,2205.292,0,,0,0,0,0,22,62800,167500,197200,100000,20000,18400,9200,1,,,,,,,,,,,,,,,,,,0,0,45.73
10-01-2008,2008,Q4,,4.445343,,,,,5.956711,,,,1510.699951,,,,0.040712553,0.043790397,0.038158824,0.627397098,0.697534093,0.559227302,,0.654328794,,,,,,88.74575,46679.8097,,,521.719,5689.401417,1867.319,0,,0,0,0,1,22,72300,150500,135700,54100,16300,18300,10100,1,,,,,,,,,,,,,,,,,,0,0,40.13
11-01-2008,2008,Q4,,4.381367,,,,,5.825427,,,,1619.45105,,,,0.04150967,0.044754411,0.038802,0.623350459,0.691300847,0.557297242,,0.654364607,,,,,,90.50433,49688.33401,,,553.91,4463.971333,1932.161,0,,0,1,1,0,20,67700,123900,108400,60600,36200,25500,10300,1,,,,,,,,,,,,,,,,,,0,0,32.02
12-01-2008,2008,Q4,,4.411631,,,,,5.831672,,,,2122.87793,,,,0.04434515,0.044267631,0.044409556,0.631369097,0.699510616,0.565121047,,0.654689777,,,,,,91.62012,51709.45695,,,693.141,3008.0735,2446.835,0,,0,1,1,4,19,47200,132500,228500,171500,34400,17400,10200,2,,,,,,,,,,,,,,,,,,0,0,35.33
01-01-2009,2009,Q1,1611.309904,4.352415,,,,,5.793332,,,,2182.869629,,,,0.053188148,0.051133485,0.054884914,0.616494178,0.683683525,0.551162566,,0.655231015,,,,,,92.19014,49134.55286,,,534.945,2495.583417,2428.511,0,,1,1,1,2,20,42700,121100,140800,53100,15600,15300,20200,2,,,,,,,,,,,,,,,,,,0,0,36.46
02-01-2009,2009,Q1,1343.166985,4.416685,,,,,5.792229,,,,1873.484619,,,,0.059675432,0.061665157,0.058003734,0.620706441,0.685377829,0.557814064,,0.655729739,,,,,,93.41913,48921.56884,,,430.977,3326.348083,1656.011,0,,0,0,0,0,20,62300,112600,109700,40700,12200,12900,12200,2,,,,,,,,,,,,,,,,,,0,0,30.86
03-01-2009,2009,Q1,1563.248524,4.424959,,,,,5.745072,,,,1996.589478,,,,0.060426155,0.0610908,0.059867808,0.619312309,0.683017979,0.557350376,,0.655955253,,,,,,93.26146,49103.80189,,,485.396,5249.34,2160.087,0,,1,0,0,1,21,74200,129600,119900,58300,15600,18300,13400,3,,,,,,,,,,,,,,,,,,0,0,33.38
04-01-2009,2009,Q2,1542.646804,4.433523,,,,,5.773002,,,,1800.793579,,,,0.055733141,0.05437741,0.056866667,0.619417569,0.68336148,0.557220126,,0.65577358,,,,,,93.09167,48700.20473,,,487.287,5168.994,2055.329,0,,0,1,1,3,19,66800,158900,162300,63000,18300,18300,15400,3,,,,,,,,,,,,,,,,,,0,0,31.19
05-01-2009,2009,Q2,1393.522857,4.468292,,,,,5.722111,,,,1581.963501,,,,0.058276561,0.053662728,0.062138567,0.618177149,0.679641195,0.558388406,,0.655188379,,,,,,94.08617,47853.14681,,,483.084,4297.96,1938.653,0,,0,0,0,0,21,67900,133500,138200,87400,27100,32200,13300,3,,,,,,,,,,,,,,,,,,0,0,36.67
06-01-2009,2009,Q2,1505.522483,4.421563,,,,,5.987177,,,,1344.119141,,,,0.057303873,0.053527228,0.060466114,0.61637183,0.678045449,0.556375578,,0.654344418,,,,,,94.94324,48087.40164,,,498.854,-485.299,2104.521,0,,0,0,0,1,21,66300,149000,158100,110000,33600,28400,11400,4,,,,,,,,,,,,,,,,,,0,0,39.16
07-01-2009,2009,Q3,1192.494217,4.412022,,,,,5.862796,,,,1437.616577,,,,0.052733888,0.049284983,0.055605405,0.617536035,0.681300731,0.555505853,,0.653490542,,,,,,95.59007,48185.44444,,,514.831,4758.908,1875.577,0,,0,0,0,0,23,68200,176600,165900,88800,28600,23800,12700,4,,,,,,,,,,,,,,,,,,0,0,44.22
08-01-2009,2009,Q3,1333.554577,4.601689,,,,,6.097603,,,,1554.127075,,,,0.055030329,0.053637004,0.056191143,0.610745955,0.674831671,0.54840372,,0.652879672,,,,,,95.88114,48442.10965,,,474.802,3471.675,2192.848,0,,0,0,0,0,21,74500,158500,147300,86700,24500,22700,11700,4,,,,,,,,,,,,,,,,,,0,0,48.88
09-01-2009,2009,Q3,1511.87638,4.515814,,,,,6.165037,,,,1698.55896,,,,0.056133155,0.054932691,0.057137057,0.619717915,0.683690181,0.557486389,,0.652591545,,,,,,95.93774,48641.2299,,,505.896,2168.592,1807.297,0,,0,0,0,0,22,77800,195200,208800,97800,20900,18500,9200,1,,,,,,,,,,,,,,,,,,0,0,52.21
10-01-2009,2009,Q4,1552.030974,4.546315,,,,,6.296204,,,,1885.77002,,,,0.053556496,0.051837005,0.054990594,0.616832192,0.681075397,0.554345618,,0.652536607,,,,,,95.86902,48968.42007,,,536.616,4860.214,1876.111,224.632,,0,0,0,1,21,84000,201100,162600,54700,17100,18000,9500,1,,,,,,,,,,,,,,,,,,0,0,48.34
11-01-2009,2009,Q4,1770.121471,4.484776,,,,,6.121507,,,,2459.639648,,,,0.051953553,0.050080105,0.053521945,0.615147094,0.678000779,0.554019637,,0.652662246,,,,,,95.91753,49285.32997,,,608.213,4603.496,2532.203,64.931,,0,1,1,0,21,86800,158500,128000,69700,40300,26500,10000,1,,,,,,,,,,,,,,,,,,0,0,53.91
12-01-2009,2009,Q4,2142.850474,4.498142,,,,,6.238989,,,,2852.171631,,,,0.053235521,0.052749281,0.053641218,0.624679365,0.690457802,0.560716115,,0.652790781,,,,,,95.68305,51586.37699,,,563.981,2859.37,2379.095,70.326,,0,1,1,4,19,59500,167100,258400,180800,35000,18600,10900,2,,,,,,,,,,,,,,,,,,0,0,45.63
01-01-2010,2010,Q1,1578.423817,4.43037,,,,,6.075831,,,,2746.373291,,,,0.057055882,0.057206804,0.056931394,0.612263603,0.680644339,0.54577084,,0.652732522,,,,,,95.64667,49040.42522,,,443.511,2678.677,1715.94,76.372,,1,1,1,2,19,57100,173400,156400,55600,15800,15000,20600,2,,,,,,,,,,,,,,,,,,0,0,51.16
02-01-2010,2010,Q1,1282.251782,4.666142,,,,,6.34589,,,,2090.399902,,,,0.059633801,0.060588951,0.058841783,0.6157344,0.683362649,0.549974181,,0.652473494,,,,,,96.2935,48527.06065,,,363.408,4419.747,1769.653,65.575,,0,0,0,0,20,69300,133600,126700,48300,12700,12700,13000,2,,,,,,,,,,,,,,,,,,0,0,55.07
03-01-2010,2010,Q1,1565.996896,4.578368,,,,,6.250334,,,,2393.250732,,,,0.057484296,0.05707179,0.057827852,0.616966315,0.682548859,0.553196136,,0.652103172,,,,,,97.31631,49784.32849,,,434.735,4633.077,2272.197,49.348,,1,0,0,1,22,85200,176100,173100,71900,17400,20500,13700,3,,,,,,,,,,,,,,,,,,0,0,51.24
04-01-2010,2010,Q2,1406.814602,4.58458,,,,,6.414499,,,,2053.483643,,,,0.05549148,0.056950428,0.054279593,0.616914647,0.684433337,0.551261371,,0.651806775,,,,,,98.08847,48653.06501,,,380.424,4817.297,1873.631,59.356,,0,1,1,3,19,87000,178500,149100,68000,19300,20200,14200,3,,,,,,,,,,,,,,,,,,0,0,57.69
05-01-2010,2010,Q2,1371.829516,4.55781,,,,,6.428901,,,,1796.920654,,,,0.052293027,0.052270075,0.05231215,0.617209546,0.682929112,0.553305028,,0.651761141,,,,,,98.517,48540.97634,,,444.989,4252.058,2296.119,70.554,,0,0,0,0,21,81600,143900,156000,98400,29400,32000,14200,3,,,,,,,,,,,,,,,,,,0,0,54.26
06-01-2010,2010,Q2,1466.819963,4.460244,,,,,6.388694,,,,1771.953857,,,,0.050071124,0.050809664,0.049455044,0.619444728,0.685477487,0.55523518,,0.652150274,,,,,,99.25277,48759.21871,,,476.594,3029.889,1956.329,66.906,,0,0,0,1,21,81800,175800,209500,139700,38500,30800,10000,4,,,,,,,,,,,,,,,,,,0,0,53.73
07-01-2010,2010,Q3,1230.075862,4.436234,,,,,6.476171,,,,1849.402588,,,,0.049302813,0.051224838,0.047701362,0.619904834,0.687093492,0.554577178,,0.652941574,,,,,,100.2271,49192.48787,,,456.306,4931.634,1985.847,54.315,,0,0,0,0,22,76600,202600,173800,96800,29100,23800,13200,4,,,,,,,,,,,,,,,,,,0,0,54.15
08-01-2010,2010,Q3,1316.638416,4.669136,,,,,6.755198,,,,1818.482788,,,,0.048493638,0.052059932,0.045513568,0.615991239,0.68287103,0.550968846,,0.654006365,,,,,,101.1165,49385.71849,,,472.144,3601.739,2282.951,62.731,,0,0,0,0,22,86200,176500,156500,101100,28100,20200,13400,4,,,,,,,,,,,,,,,,,,0,1,48.78
09-01-2010,2010,Q3,1461.90817,4.489469,,,,,6.811495,,,,2040.501099,,,,0.05038248,0.052023225,0.049010725,0.625666138,0.692296353,0.560892089,,0.655106554,,,,,,101.7431,49880.60345,,,465.269,2542.977,1890.356,73.701,,0,0,0,0,22,87500,226800,247200,112200,22300,18600,10700,1,,,,,,,,,,,,,,,,,,0,0,43.78
10-01-2010,2010,Q4,1415.710175,4.563701,,,,,6.923185,,,,2182.789063,,,,0.050330273,0.052513997,0.048507257,0.623228401,0.690425973,0.557909309,,0.656054351,,,,,,102.5597,49784.37021,,,480.38,5508.466,1962.088,11.734,,0,0,0,1,20,96500,210000,165200,59400,17500,19400,9200,1,,,,,,,,,,,,,,,,,,0,0,47.27
11-01-2010,2010,Q4,1565.999475,4.530459,,,,,6.965405,,,,2301.770996,,,,0.047700931,0.051592023,0.0444402,0.623367383,0.690455216,0.55816142,,0.656659177,,,,,,104.0515,50031.42887,,,600.412,4348.65,2450.523,78.171,,0,1,0,0,22,97300,172700,131300,71900,42300,26000,9900,1,,,,,,,,,,,,,,,,,,0,0,47.34
12-01-2010,2010,Q4,1872.276643,4.602191,,,,,6.885363,,,,3252.45752,,,,0.047361108,0.050962421,0.044353984,0.631039259,0.699940369,0.564077479,,0.656794955,,,,,,105.1875,53081.88481,,,535.91,2859.192,2490.934,68.672,,0,1,1,4,19,66000,189700,290900,194500,38500,15900,10400,2,,,,,,,,,,,,,,,,,,0,0,47.76
01-01-2011,2011,Q1,1700.400237,4.508471,,,,,6.934468,,,,3270.381348,,,,0.05396128,0.057270803,0.051228697,0.617174836,0.687910556,0.548436384,,0.656476973,,,,,,105.8181,50243.16282,,,490.593,2434.873,2548.276,82.007,,1,1,1,2,19,61500,188500,182800,66800,16100,18700,19500,2,,,,,,,,,,,,,,,,,,0,0,46.08
02-01-2011,2011,Q1,1277.937634,4.637999,,,,,6.948747,,,,2780.143311,,,,0.056117826,0.059688218,0.053145365,0.620832546,0.689609858,0.554003488,,0.655750559,,,,,,106.7035,49754.54477,,,422.059,6492.097,1868.414,75.034,,0,0,0,0,20,82100,150300,133200,49000,13300,15200,11500,2,,,,,,,,,,,,,,,,,,0,0,50.64
03-01-2011,2011,Q1,1484.16489,4.629626,,,,,7.158458,,,,2773.21582,,,,0.052316598,0.057675053,0.047807541,0.623829539,0.690707299,0.558852114,,0.654822249,,,,,,107.5727,49756.65951,,,450.447,2902.921,1968.99,43.656,,1,0,0,1,22,100700,170700,144400,67900,16500,17100,14700,3,,,,,,,,,,,,,,,,,,0,0,47.69
04-01-2011,2011,Q2,1577.484479,4.58491,,,,,7.172757,,,,2701.582031,,,,0.049954858,0.051774625,0.048430188,0.621386112,0.687169289,0.557465908,,0.654018805,,,,,,108.2397,51825.44683,,,473.926,5192.153,2044.516,58.528,,0,1,1,3,18,94400,239300,214300,89600,21300,20500,13000,3,,,,,,,,,,,,,,,,,,0,0,49.54
05-01-2011,2011,Q2,1256.881635,4.603132,,,,,7.3515,,,,2136.088379,,,,0.050045419,0.053411175,0.047216261,0.621173546,0.686820142,0.557379695,,0.653556151,,,,,,108.741,49792.5872,,,501.335,4859.838,2288.691,76.545,,0,0,0,0,22,90700,173700,170100,107000,32400,31100,13800,3,,,,,,,,,,,,,,,,,,0,0,45.35
06-01-2011,2011,Q2,1365.863201,4.578775,,,,,7.430243,,,,2192.286133,,,,0.047873873,0.050347613,0.045785673,0.621817148,0.685627342,0.559801759,,0.653502938,,,,,,108.8583,50059.35226,,,479.219,2418.46,2021.414,61.906,,0,0,0,1,21,88800,191000,219000,150300,38000,30700,8800,4,,,,,,,,,,,,,,,,,,0,0,51.31
07-01-2011,2011,Q3,1194.73614,4.486628,,,,,7.43595,,,,2338.081787,,,,0.047719077,0.049621006,0.046121392,0.621335311,0.686323105,0.558184356,,0.65369914,,,,,,109.1898,50328.48045,,,512.616,5184.452,1957.022,56.618,,0,0,0,0,21,87200,234000,195200,101400,31400,23400,11500,4,,,,,,,,,,,,,,,,,,0,0,43.44
08-01-2011,2011,Q3,1408.328134,4.61073,,,,,7.69277,,,,2420.769531,,,,0.050904921,0.051282222,0.05058775,0.615123867,0.678351512,0.553687098,,0.653956878,,,,,,110.4349,51098.15152,,,540.591,4067.067,2318.447,54.302,,0,0,0,0,23,93000,197100,181000,112400,27800,24100,12800,4,,,,,,,,,,,,,,,,,,0,0,42.23
09-01-2011,2011,Q3,1329.566484,4.573617,,,,,7.580083,,,,2958.187012,,,,0.051958372,0.052649426,0.051373635,0.624786418,0.687163406,0.564180038,,0.653974356,,,,,,111.6114,51682.71719,,,519.336,1805.475,1947.871,49.54,,0,0,0,0,22,110200,249500,256500,123800,21600,19400,9000,1,,,,,,,,,,,,,,,,,,0,0,40.58
10-01-2011,2011,Q4,1471.344872,4.687511,,,,,7.667015,,,,3298.019043,,,,0.04962465,0.048727296,0.050379535,0.621330575,0.684232524,0.560216135,,0.653711297,,,,,,112.2744,52178.02695,,,607.666,6122.976,2327.645,45.286,,0,0,0,1,20,110900,230600,174200,64700,17600,21400,9100,1,,,,,,,,,,,,,,,,,,0,0,46.33
11-01-2011,2011,Q4,1591.192481,4.729692,,,,,7.900815,,,,3504.455811,,,,0.048913667,0.049982524,0.048013648,0.618628052,0.682154852,0.556908228,,0.653148718,,,,,,112.8727,52508.8006,,,653.589,4685.367,2246.695,65.583,,0,1,0,0,22,109700,188500,144200,74200,44700,25900,8300,1,,,,,,,,,,,,,,,,,,0,0,48.41
12-01-2011,2011,Q4,1946.487392,4.750773,,,,,7.966524,,,,5295.947266,,,,0.050329036,0.054096169,0.047164596,0.624051385,0.690546882,0.559449523,,0.652542504,,,,,,113.5478,55816.5095,,,698.452,2876.712,2337.672,63.507,,0,1,1,4,18,73100,204600,303800,210500,44100,17300,10100,2,,,,,,,,,,,,,,,,,,0,0,46.45
01-01-2012,2012,Q1,1579.553659,4.712773,,,,,7.784708,,,,4694.319336,,,,0.054400637,0.056022965,0.053053705,0.612218232,0.67974716,0.54660745,,0.652112543,,,,,,114.32,53383.59994,,,689.212,2136.954,2511.512,82.714,,1,1,1,2,20,67200,189400,190100,76100,17200,19000,20600,2,,,,,,,,,,,,,,,,,,0,0,49.38
02-01-2012,2012,Q1,1271.618161,4.929352,,,,,7.987404,,,,3664.798096,,,,0.058577357,0.06138033,0.056224644,0.615359205,0.680550771,0.55201452,,0.651924121,,,,,,114.9668,52364.26494,,,507.78,7299.916,1810.202,84.996,,0,0,0,0,21,94200,168900,139800,52500,14200,14800,11700,2,,,,,,,,,,,,,,,,,,0,0,49.45
03-01-2012,2012,Q1,1454.67904,4.886318,,,,,7.91242,,,,3693.644531,,,,0.054989547,0.057531649,0.052832242,0.619545439,0.681573533,0.559270223,,0.651822388,,,,,,115.646,53261.63113,,,539.88,2444.891,1919.206,28.787,,1,0,0,1,21,111600,201100,184100,82900,18800,18000,13000,3,,,,,,,,,,,,,,,,,,0,0,49.3
04-01-2012,2012,Q2,1383.085355,4.876486,,,,,7.907346,,,,3477.214111,,,,0.050215815,0.052353667,0.048416852,0.618502851,0.682746542,0.556064434,,0.651676957,,,,,,116.2564,53368.74854,,,612.8,5282.856,2388.369,79.64,,0,1,1,3,18,99500,224000,190200,90300,22900,23100,14000,3,,,,,,,,,,,,,,,,,,0,0,44.89
05-01-2012,2012,Q2,1256.578116,4.899366,,,,,7.916651,,,,2854.047852,,,,0.051653198,0.054867105,0.048926908,0.620977316,0.683569881,0.560133868,,0.65149078,,,,,,117.1095,53075.6417,,,591.976,4917.099,1940.036,62.599,,0,0,0,0,23,98900,181000,182500,113300,32500,33500,12400,3,,,,,,,,,,,,,,,,,,0,0,40.41
06-01-2012,2012,Q2,1250.914708,4.85397,,,,,8.017071,,,,2669.790039,,,,0.05010013,0.053357196,0.047346262,0.618068474,0.681350271,0.556544977,,0.651285452,,,,,,118.2616,53594.96399,,,630.102,2025.235,1776.323,42.428,,0,0,0,1,20,93800,213600,255800,154900,38800,31300,11600,4,,,,,,,,,,,,,,,,,,0,0,46.04
07-01-2012,2012,Q3,1424.697673,4.85724,,,,,7.907315,,,,2889.866943,,,,0.04877671,0.049173797,0.048442195,0.617842144,0.680475971,0.55694288,,0.651058285,,,,,,119.0095,53791.97029,,,697.753,5126.414,2478.859,47.806,,0,0,0,0,22,92800,235000,188400,102900,31600,25700,12400,4,,,,,,,,,,,,,,,,,,0,0,43.21
08-01-2012,2012,Q3,1209.697283,4.957084,,,,,8.252458,,,,2828.880615,,,,0.04979287,0.048481998,0.050895617,0.611272932,0.672625512,0.551613902,,0.650865415,,,,,,119.6725,54335.39407,,,630.949,3723.979,1851.952,47.687,,0,0,0,0,23,103300,201100,182400,111300,29500,23300,15400,4,,,,,,,,,,,,,,,,,,0,0,47.48
