Month,Beer_Volume,Real_BV,GDP_per_capita_currentYuan,Avg_temp_min_China_Farenheit,Avg_temp_China_Farenheit,China_Max_Temp,AvgBeerPrice_CNY,AvgWinePrice_CNY,AvgSpritPrice_CNY,Wine_TotalVolume_millionlitres,Spirits_TotalVolume_1000litres,Output_of_SoftDrinks_CurrentPeriod_10000tons,Retail_Price_Index,Retail_Price_Indices_Fuels,CPI_RealAvgBeerPrice_CNY,Working_Days_Total,FAI_100million_Yuan,PMI,Total_pop,Pop0_4,Pop5_9,Pop10_14,Pop15_19,Pop20_24,Pop25_29,Pop20_29,Pop30_34,Pop35_39,Pop40_44,Pop45_49,Pop50_54,Pop55_59,Pop60_64,Pop40_64,Pop_lda,Pop65_69,Pop70_74,Pop75_79,Pop80,Sum_of_Beijing_Olympics,Sum_of_Chinese_Grand_Prix,Sum_of_Qingdao_Beer_Festival,Sum_of_Shanghai_Intl_Beer_Festival,Sum_of_Shanghai_Rolex_Masters,Sum_of_Shanlanaya_Music_Festival,Sum_of_Jan_Flag,Sum_of_Feb_Flag,Sum_of_Mar_Flag,Sum_of_Apr_Flag,Sum_of_May_Flag,Sum_of_Jun_Flag,Sum_of_Jul_Flag,Sum_of_Aug_Flag,Sum_of_Sep_Flag,Sum_of_Oct_Flag,Sum_of_Nov_Flag,Sum_of_Dec_Flag,Chinese_New_Year,Spring_Festival_Golden_Week,Working_Days_Total,CPI_imf,DI_imf,wage_index_imf,unemp_rate_imf,Output_of_Liquor_CurrentPeriod,Output_of_SoftDrinks_CurrentPeriod,Output_of_Wine_CurrentPeriod,Urban_population,Total_Value_of_Exports_Current_Period,Inflation_consumer_prices,GDP_deflator,Consumer_Price_Index,Retail_Price_Index,Retail_Price_Indices_Beverages_Tobacco_and_Liquor,Retail_Price_Indices_Food,Retail_Price_Indices_Fuels,GDP_deflator_Annual,Consumer_Price_Index_Annual,Retail_Price_Index_Annual,Retail_Price_Indices_Beverages_Tobacco_and_Liquor_Annual,Retail_Price_Indices_Food_Annual,Retail_Price_Indices_Fuels_Annual,std_pop
11-01-2001,108.150876,10815.0876,86.70079019,46.6361579,54.19547544,69.75165091,5.667710343,43.48449663,88.58282434,1541.6,4381777.2,91,85.88818391,49.93580984,6.885630811,21,1672.757225,60.7,1277189,78011,100614,130505,106938,95075,117199,212274,128357,108402,85272,86410,65207,47068,40899,324856,773889,34723,24671,15052,12783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,70.6852105,344.794,103.4714446,0,36.5,91,1.8,471.767321,23.990685,0.722902508,102.049203,82.34136833,85.88818391,90.9657738,60.06718817,49.93580984,102.049203,82.31214391,85.58473853,90.69245004,60.32404077,48.56565826,-1.621855283
12-01-2001,97.50048571,9750.048571,86.70079019,36.67805579,42.37945714,58.54210748,5.667710343,43.48449663,88.58282434,1541.6,4381777.2,105.6,85.58473853,48.56565826,6.885630811,20,3312.450971,60.5,1277189,78011,100614,130505,106938,95075,117199,212274,128357,108402,85272,86410,65207,47068,40899,324856,773889,34723,24671,15052,12783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,23,70.6852105,344.794,103.4714446,0,47.3,105.6,3.8,471.767321,24.585072,0.722902508,102.049203,82.31214391,85.58473853,90.69245004,60.32404077,48.56565826,102.049203,82.31214391,85.58473853,90.69245004,60.32404077,48.56565826,-1.621855283
01-01-2002,105.2615606,10526.15606,94.50328022,37.27033829,44.155427,58.09885573,5.646571822,43.74046359,93.00336056,1643.7,3944729.5,126,87.58517042,48.2947794,6.887499884,20,420.6350496,54.3,1284350,76906,94261,126764,114269,94081,111467,205548,128338,113777,88336,85365,70813,48998,41000,334512,782175,35345,25671,15608,13352,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,71.32714213,310.888,115.1175812,3.6,38.5,126,3.3,491.9937,21.703291,-0.765949287,102.648984,82.83434438,87.58517042,90.75610575,62.22289352,48.2947794,102.648984,81.98289534,85.32798431,90.32968024,61.1082533,54.19927462,-1.387893636
02-01-2002,141.0062535,14100.62535,94.50328022,42.79708888,49.75482584,62.02473125,5.646571822,43.74046359,93.00336056,1643.7,3944729.5,142.1,87.53686056,47.924245,6.887499884,14,800.3949317,57.4,1284350,76906,94261,126764,114269,94081,111467,205548,128338,113777,88336,85365,70813,48998,41000,334512,782175,35345,25671,15608,13352,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,17,71.32714213,310.888,115.1175812,3.6,29.8,142.1,2.6,491.9937,19.136514,-0.765949287,102.648984,83.64015046,87.53686056,90.7571098,63.18452627,47.924245,102.648984,81.98289534,85.32798431,90.32968024,61.1082533,54.19927462,-1.387893636
03-01-2002,186.6366126,18663.66126,94.50328022,49.91339576,57.44168705,68.78950885,5.646571822,43.74046359,93.00336056,1643.7,3944729.5,170.7,86.75800226,48.04731496,6.887499884,17,1397.894101,60.4,1284350,76906,94261,126764,114269,94081,111467,205548,128338,113777,88336,85365,70813,48998,41000,334512,782175,35345,25671,15608,13352,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23,71.32714213,310.888,115.1175812,3.6,27,170.7,2.1,491.9937,23.817842,-0.765949287,102.648984,82.52484456,86.75800226,90.75942552,61.84215882,48.04731496,102.648984,81.98289534,85.32798431,90.32968024,61.1082533,54.19927462,-1.387893636
04-01-2002,216.3646839,21636.46839,94.50328022,57.20328589,64.61128928,75.66839217,5.646571822,43.74046359,93.00336056,1643.7,3944729.5,175.8,86.53154314,49.14803961,6.887499884,20,1608.988901,61,1284350,76906,94261,126764,114269,94081,111467,205548,128338,113777,88336,85365,70813,48998,41000,334512,782175,35345,25671,15608,13352,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,70.39000342,309.239,98.99216125,3.8,27.3,175.8,1.5,491.9937,26.69238,-0.765949287,102.648984,82.38614022,86.53154314,90.67192659,61.31380282,49.14803961,102.648984,81.98289534,85.32798431,90.32968024,61.1082533,54.19927462,-1.387893636
05-01-2002,234.6608447,23466.08447,94.50328022,63.79759399,70.94521152,82.40213944,5.646571822,43.74046359,93.00336056,1643.7,3944729.5,176.2,86.17424366,50.15039683,6.887499884,18,1836.338206,58.7,1284350,76906,94261,126764,114269,94081,111467,205548,128338,113777,88336,85365,70813,48998,41000,334512,782175,35345,25671,15608,13352,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21,70.39000342,309.239,98.99216125,3.8,27.4,176.2,1.5,491.9937,24.640106,-0.765949287,102.648984,81.87954983,86.17424366,90.76978911,60.95894837,50.15039683,102.648984,81.98289534,85.32798431,90.32968024,61.1082533,54.19927462,-1.387893636
06-01-2002,292.5804039,29258.04039,94.50328022,72.5159995,79.65045265,88.46686808,5.646571822,43.74046359,93.00336056,1643.7,3944729.5,209.3,85.78857868,49.98516142,6.887499884,19,2531.87499,56.9,1284350,76906,94261,126764,114269,94081,111467,205548,128338,113777,88336,85365,70813,48998,41000,334512,782175,35345,25671,15608,13352,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21,70.39000342,309.239,98.99216125,3.8,28.1,209.3,1.6,491.9937,26.062011,-0.765949287,102.648984,81.40301879,85.78857868,90.59407831,60.39267541,49.98516142,102.648984,81.98289534,85.32798431,90.32968024,61.1082533,54.19927462,-1.387893636
07-01-2002,298.2322989,29823.22989,94.50328022,74.74179631,81.8496607,90.1582528,5.646571822,43.74046359,93.00336056,1643.7,3944729.5,197,85.06148782,50.29962412,6.887499884,21,2218.362833,59.1,1284350,76906,94261,126764,114269,94081,111467,205548,128338,113777,88336,85365,70813,48998,41000,334512,782175,35345,25671,15608,13352,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21,69.89155394,332.746,97.87234043,3.9,21.6,197,1.5,491.9937,29.190938,-0.765949287,102.648984,81.02340515,85.06148782,90.508059,59.76493862,50.29962412,102.648984,81.98289534,85.32798431,90.32968024,61.1082533,54.19927462,-1.387893636
08-01-2002,262.5233328,26252.33328,94.50328022,73.32631049,80.228741,89.07050014,5.646571822,43.74046359,93.00336056,1643.7,3944729.5,182.7,85.09875645,50.82882467,6.887499884,19,2289.62917,60.5,1284350,76906,94261,126764,114269,94081,111467,205548,128338,113777,88336,85365,70813,48998,41000,334512,782175,35345,25671,15608,13352,0,0,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,23,69.89155394,332.746,97.87234043,3.9,23.6,182.7,1.8,491.9937,29.451088,-0.765949287,102.648984,81.08121168,85.09875645,90.41779949,60.13213436,50.82882467,102.648984,81.98289534,85.32798431,90.32968024,61.1082533,54.19927462,-1.387893636
09-01-2002,241.7232784,24172.32784,94.50328022,66.37504986,73.56150637,84.51098851,5.646571822,43.74046359,93.00336056,1643.7,3944729.5,203.1,85.32160304,51.77899899,6.887499884,19,2901.119057,58.6,1284350,76906,94261,126764,114269,94081,111467,205548,128338,113777,88336,85365,70813,48998,41000,334512,782175,35345,25671,15608,13352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,69.89155394,332.746,97.87234043,3.9,32.5,203.1,2.4,491.9937,31.867746,-0.765949287,102.648984,81.70098579,85.32160304,90.60246546,60.5582809,51.77899899,102.648984,81.98289534,85.32798431,90.32968024,61.1082533,54.19927462,-1.387893636
10-01-2002,162.6521492,16265.21492,94.50328022,57.4871401,64.84233719,78.45343168,5.646571822,43.74046359,93.00336056,1643.7,3944729.5,152.7,85.01672411,53.47339556,6.887499884,17,2455.237577,57.2,1284350,76906,94261,126764,114269,94081,111467,205548,128338,113777,88336,85365,70813,48998,41000,334512,782175,35345,25671,15608,13352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19,70.23759003,341.034,101.1198208,4,31.2,152.7,2.2,491.9937,29.937322,-0.765949287,102.648984,81.61151116,85.01672411,90.51746594,60.24687444,53.47339556,102.648984,81.98289534,85.32798431,90.32968024,61.1082533,54.19927462,-1.387893636
11-01-2002,118.4646113,11846.46113,94.50328022,46.13257106,53.28913729,68.3464223,5.646571822,43.74046359,93.00336056,1643.7,3944729.5,111.7,85.11519025,54.13041787,6.887499884,20,2658.015144,58.7,1284350,76906,94261,126764,114269,94081,111467,205548,128338,113777,88336,85365,70813,48998,41000,334512,782175,35345,25671,15608,13352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,70.23759003,341.034,101.1198208,4,34.7,111.7,2.9,491.9937,31.198897,-0.765949287,102.648984,81.76497875,85.11519025,90.60191071,60.30745693,54.13041787,102.648984,81.98289534,85.32798431,90.32968024,61.1082533,54.19927462,-1.387893636
12-01-2002,107.2566384,10725.66384,94.50328022,37.74155286,42.56028121,59.28812888,5.646571822,43.74046359,93.00336056,1643.7,3944729.5,148.6,85.32798431,54.19927462,6.887499884,21,4696.944139,58,1284350,76906,94261,126764,114269,94081,111467,205548,128338,113777,88336,85365,70813,48998,41000,334512,782175,35345,25671,15608,13352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,23,70.23759003,341.034,101.1198208,4,49,148.6,4.9,491.9937,31.866877,-0.765949287,102.648984,81.98289534,85.32798431,90.32968024,61.1082533,54.19927462,102.648984,81.98289534,85.32798431,90.32968024,61.1082533,54.19927462,-1.387893636
01-01-2003,119.1430886,11914.30886,105.9954983,25.02862979,40.91078845,56.29314627,5.625429434,43.77280237,96.26332576,1755.3,3648554.6,148.1,87.0596594,57.03613447,6.648944869,20,675.4835165,52.4,1291485,76092,88649,120673,122025,94627,105477,200104,127036,118951,92539,83421,76559,51482,41258,345259,791350,35946,26742,16235,13775,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,71.68284684,322.364,109.1825308,4.1,33.3,148.1,3.4,512.473984,29.775788,1.155909711,105.3000816,83.16568176,87.0596594,90.48383743,63.59179718,57.03613447,105.3000816,84.60634799,86.94921601,90.78132864,66.36356308,57.23443399,-1.154781453
02-01-2003,128.5177074,12851.77074,105.9954983,42.035929,48.26589245,60.76431264,5.625429434,43.77280237,96.26332576,1755.3,3648554.6,170.3,87.27424998,57.46116975,6.648944869,15,1285.326992,55.3,1291485,76092,88649,120673,122025,94627,105477,200104,127036,118951,92539,83421,76559,51482,41258,345259,791350,35946,26742,16235,13775,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,21,71.68284684,322.364,109.1825308,4.1,22.8,170.3,2.8,512.473984,24.44846,1.155909711,105.3000816,83.80743076,87.27424998,90.48483847,64.7009549,57.46116975,105.3000816,84.60634799,86.94921601,90.78132864,66.36356308,57.23443399,-1.154781453
03-01-2003,168.8984397,16889.84397,105.9954983,46.52693467,53.14810182,65.87987025,5.625429434,43.77280237,96.26332576,1755.3,3648554.6,189.1,86.93151827,57.32044675,6.648944869,18,2236.67502,57.2,1291485,76092,88649,120673,122025,94627,105477,200104,127036,118951,92539,83421,76559,51482,41258,345259,791350,35946,26742,16235,13775,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23,71.68284684,322.364,109.1825308,4.1,23.8,189.1,2.6,512.473984,32.092245,1.155909711,105.3000816,83.26756816,86.93151827,90.48714724,64.1303187,57.32044675,105.3000816,84.60634799,86.94921601,90.78132864,66.36356308,57.23443399,-1.154781453
04-01-2003,219.003595,21900.3595,105.9954983,56.54294195,63.89689917,75.03050494,5.625429434,43.77280237,96.26332576,1755.3,3648554.6,186.6,86.61807469,56.22535732,6.648944869,22,2505.61172,57.6,1291485,76092,88649,120673,122025,94627,105477,200104,127036,118951,92539,83421,76559,51482,41258,345259,791350,35946,26742,16235,13775,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,70.85996233,291.353,96.86450168,4.2,22.8,186.6,1.9,512.473984,35.707106,1.155909711,105.3000816,83.21000162,86.61807469,90.39991081,63.52109972,56.22535732,105.3000816,84.60634799,86.94921601,90.78132864,66.36356308,57.23443399,-1.154781453
05-01-2003,231.578344,23157.8344,105.9954983,65.28477452,72.22104127,83.18144679,5.625429434,43.77280237,96.26332576,1755.3,3648554.6,175.1,85.65719819,54.21257897,6.648944869,17,2894.65435,56,1291485,76092,88649,120673,122025,94627,105477,200104,127036,118951,92539,83421,76559,51482,41258,345259,791350,35946,26742,16235,13775,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22,70.85996233,291.353,96.86450168,4.2,20.4,175.1,1.6,512.473984,33.834085,1.155909711,105.3000816,82.45270668,85.65719819,90.49747974,62.05620944,54.21257897,105.3000816,84.60634799,86.94921601,90.78132864,66.36356308,57.23443399,-1.154781453
06-01-2003,302.4166269,30241.66269,105.9954983,70.39881172,78.02814261,87.66698929,5.625429434,43.77280237,96.26332576,1755.3,3648554.6,233.6,84.67332716,53.73404853,6.648944869,20,4039.630131,54.6,1291485,76092,88649,120673,122025,94627,105477,200104,127036,118951,92539,83421,76559,51482,41258,345259,791350,35946,26742,16235,13775,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,70.85996233,291.353,96.86450168,4.2,25.3,233.6,1.6,512.473984,34.463284,1.155909711,105.3000816,81.64722785,84.67332716,90.32229608,60.27189006,53.73404853,105.3000816,84.60634799,86.94921601,90.78132864,66.36356308,57.23443399,-1.154781453
07-01-2003,304.1708348,30417.08348,105.9954983,75.25592781,82.1829512,91.86455198,5.625429434,43.77280237,96.26332576,1755.3,3648554.6,244.3,84.04074996,53.82059781,6.648944869,21,3472.20017,55.7,1291485,76092,88649,120673,122025,94627,105477,200104,127036,118951,92539,83421,76559,51482,41258,345259,791350,35946,26742,16235,13775,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22,70.47431765,326.564,94.28891377,4.2,19.2,244.3,2.1,512.473984,38.087988,1.155909711,105.3000816,81.42852217,84.04074996,90.23653483,59.94423343,53.82059781,105.3000816,84.60634799,86.94921601,90.78132864,66.36356308,57.23443399,-1.154781453
08-01-2003,311.2239269,31122.39269,105.9954983,73.32676811,79.26897406,90.12196901,5.625429434,43.77280237,96.26332576,1755.3,3648554.6,247.4,84.50306515,53.9802118,6.648944869,18,3528.362608,57.1,1291485,76092,88649,120673,122025,94627,105477,200104,127036,118951,92539,83421,76559,51482,41258,345259,791350,35946,26742,16235,13775,0,0,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,23,70.47431765,326.564,94.28891377,4.2,23.6,247.4,2.6,512.473984,37.381572,1.155909711,105.3000816,81.81094259,84.50306515,90.32738169,61.27464491,53.9802118,105.3000816,84.60634799,86.94921601,90.78132864,66.36356308,57.23443399,-1.154781453
09-01-2003,257.077349,25707.7349,105.9954983,68.34038117,74.22238241,85.16665274,5.625429434,43.77280237,96.26332576,1755.3,3648554.6,248.4,84.98031662,54.16083294,6.648944869,19,4474.642041,55.5,1291485,76092,88649,120673,122025,94627,105477,200104,127036,118951,92539,83421,76559,51482,41258,345259,791350,35946,26742,16235,13775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,70.47431765,326.564,94.28891377,4.2,30.8,248.4,3,512.473984,41.912417,1.155909711,105.3000816,82.59969663,84.98031662,90.51186299,62.37502932,54.16083294,105.3000816,84.60634799,86.94921601,90.78132864,66.36356308,57.23443399,-1.154781453
10-01-2003,176.3166002,17631.66002,105.9954983,56.68388017,63.90372692,78.66872764,5.625429434,43.77280237,96.26332576,1755.3,3648554.6,170.9,85.27177428,54.32896989,6.648944869,18,3819.659986,54.9,1291485,76092,88649,120673,122025,94627,105477,200104,127036,118951,92539,83421,76559,51482,41258,345259,791350,35946,26742,16235,13775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19,71.27197803,337.611,97.67637178,4.225,30.2,170.9,3.3,512.473984,40.894454,1.155909711,105.3000816,83.08051836,85.27177428,90.51746594,63.31946504,54.32896989,105.3000816,84.60634799,86.94921601,90.78132864,66.36356308,57.23443399,-1.154781453
11-01-2003,153.1296686,15312.96686,105.9954983,47.40448406,53.27270963,69.21743448,5.625429434,43.77280237,96.26332576,1755.3,3648554.6,139.3,86.30680292,55.48367831,6.648944869,20,4010.786988,56.9,1291485,76092,88649,120673,122025,94627,105477,200104,127036,118951,92539,83421,76559,51482,41258,345259,791350,35946,26742,16235,13775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,72.06963841,337.611,101.0638298,4.25,33.4,139.3,4,512.473984,41.740279,1.155909711,105.3000816,84.21792811,86.30680292,90.78311453,65.19236094,55.48367831,105.3000816,84.60634799,86.94921601,90.78132864,66.36356308,57.23443399,-1.154781453
